id,date_in,date_out,name,type,breed,color,age_out,outcome_type,intake_type,intake_condition,sex_upon_intake,age_in,outcome_subtype,sex_upon_outcome
A639948,2017-08-22,2017-09-03,Shieba,Dog,Boxer Mix,Mixed,Adult,Adopted,Owner Surrender,Normal,Spayed Female,5 years,NA,Spayed Female
A696133,2015-01-30,2015-01-31,Sella,Dog,Pug Mix,Brown,Adult,Transferred,Owner Surrender,Normal,Spayed Female,8 years,Partner,Spayed Female
A665277,2013-10-15,2013-10-19,Coco,Dog,Rat Terrier Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,1 month,NA,Spayed Female
A747214,2017-04-16,2017-04-16,Kovu,Dog,German Shepherd,Cream,Baby,Returned to Owner,Stray,Normal,Intact Male,7 months,NA,Intact Male
A667538,2013-11-19,2013-12-28,Goldie,Dog,Chihuahua Shorthair/Dachshund,Brown,Young,Adopted,Owner Surrender,Injured,Intact Male,1 year,NA,Neutered Male
A737445,2016-10-28,2016-10-29,N/A,Cat,Domestic Shorthair Mix,Mixed,Young,Transferred,Stray,Normal,Intact Female,1 year,SCRP,Intact Female
A667558,2013-11-19,2013-11-23,Cindy,Dog,Cardigan Welsh Corgi Mix,Mixed,Adult,Transferred,Owner Surrender,Normal,Spayed Female,7 years,Partner,Spayed Female
A781793,2018-10-05,2018-10-09,Arrow,Dog,Dachshund/Chihuahua Shorthair,Red,Young,Adopted,Stray,Normal,Intact Male,11 months,NA,Intact Male
A663411,2014-02-01,2014-02-02,Daisy,Dog,American Staffordshire Terrier Mix,Mixed,Young,Returned to Owner,Stray,Normal,Spayed Female,1 year,NA,Spayed Female
A677570,2014-04-26,2014-04-26,N/A,Cat,Domestic Medium Hair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Female,2 weeks,Partner,Intact Female
A699337,2015-03-25,2015-03-25,Deja,Dog,Jack Russell Terrier Mix,White,Adult,Returned to Owner,Stray,Normal,Spayed Female,8 years,NA,Spayed Female
A678805,2014-05-13,2014-05-16,N/A,Dog,Pomeranian,Red,Young,Transferred,Stray,Aged,Neutered Male,12 years,Partner,Neutered Male
A665007,2013-10-12,2013-10-16,Dexter,Dog,Australian Shepherd Mix,Cream,Baby,Adopted,Stray,Normal,Intact Male,5 months,NA,Neutered Male
A691949,2014-11-12,2014-11-16,Hubert,Dog,Bloodhound,Red,Baby,Transferred,Stray,Normal,Intact Male,4 months,Partner,Intact Male
A727543,2016-05-23,2016-05-25,Trixie,Dog,Beagle Mix,Mixed,Adult,Adopted,Owner Surrender,Normal,Intact Female,4 years,NA,Spayed Female
A701658,2015-05-02,2015-05-02,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Female,3 weeks,Partner,Intact Female
A670214,2014-01-03,2014-01-12,Bella,Dog,Pointer Mix,Black,Baby,Transferred,Stray,Normal,Intact Female,1 month,Partner,Intact Female
A714651,2015-10-26,2015-11-05,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Male,1 month,Partner,Intact Male
A503709,2015-07-13,2015-07-13,Brooklyn,Dog,Border Collie Mix,White,Adult,Returned to Owner,Stray,Normal,Spayed Female,7 years,NA,Spayed Female
A773691,2018-06-04,2018-06-08,N/A,Other,Parakeet Mix,White,Adult,Adopted,Wildlife,Normal,Intact Female,3 years,NA,Intact Female
A783395,2018-10-30,2018-11-03,Logan,Dog,Toy Poodle Mix,White,Adult,Transferred,Stray,Normal,Intact Male,3 years,Partner,Intact Male
A748933,2017-05-08,2017-07-01,Cameron,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Owner Surrender,Normal,Intact Male,1 month,Foster,Neutered Male
A665446,2013-10-18,2013-10-25,Dexter,Cat,Domestic Shorthair Mix,Black,Young,Transferred,Stray,Normal,Neutered Male,2 years,Partner,Neutered Male
A689446,2014-10-04,2014-11-15,Dizzy,Cat,Domestic Shorthair Mix,Black,Baby,Adopted,Stray,Normal,Intact Female,3 weeks,NA,Spayed Female
A757685,2017-09-05,2017-09-06,Buddy,Dog,American Eskimo Mix,White,Adult,Returned to Owner,Stray,Normal,Neutered Male,16 years,NA,Neutered Male
A543749,2016-03-04,2016-03-04,Bella,Dog,Basset Hound,Mixed,Adult,Returned to Owner,Stray,Normal,Spayed Female,8 years,NA,Spayed Female
A672443,2014-02-10,2014-02-14,Maggie,Dog,Rat Terrier Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,2 months,NA,Spayed Female
A686901,2014-08-30,2014-09-06,Ginger,Dog,Shih Tzu Mix,White,Young,Returned to Owner,Public Assist,Normal,Intact Female,1 year,NA,Intact Female
A717913,2016-12-18,2016-12-21,Vega,Dog,Labrador Retriever/German Shepherd,Black,Young,Adopted,Owner Surrender,Normal,Spayed Female,1 year,NA,Spayed Female
A711169,2018-03-14,2018-03-15,Beyonce,Dog,American Pit Bull Terrier Mix,Cream,Adult,Returned to Owner,Stray,Normal,Spayed Female,4 years,NA,Spayed Female
A677036,2014-04-18,2014-04-24,Bentley,Dog,Miniature Schnauzer Mix,Black,Baby,Adopted,Stray,Normal,Intact Male,10 months,NA,Neutered Male
A773251,2018-10-22,2018-11-15,Mike,Dog,Pit Bull Mix,White,Young,Transferred,Stray,Normal,Intact Male,2 years,Partner,Intact Male
